iter	Passed	Remaining
0	105	10483
1	107	5247
2	108	3511
3	110	2641
4	110	2096
5	110	1736
6	112	1494
7	113	1301
8	114	1156
9	115	1040
10	116	941
11	117	858
12	118	792
13	119	733
14	120	681
15	121	637
16	122	600
17	123	564
18	124	531
19	125	503
20	126	476
21	128	456
22	129	433
23	131	414
24	132	396
25	133	378
26	133	362
27	134	346
28	135	331
29	136	317
30	137	305
31	137	293
32	139	282
33	140	271
34	141	262
35	142	253
36	143	244
37	144	236
38	145	227
39	146	219
40	147	212
41	148	205
42	149	198
43	150	191
44	151	184
45	152	178
46	153	172
47	154	167
48	155	161
49	155	155
50	156	150
51	158	146
52	159	141
53	160	136
54	161	132
55	162	127
56	163	123
57	164	119
58	165	114
59	166	110
60	167	107
61	168	103
62	169	99
63	170	95
64	171	92
65	172	88
66	173	85
67	174	82
68	175	78
69	176	75
70	177	72
71	178	69
72	179	66
73	180	63
74	181	60
75	182	57
76	183	54
77	184	52
78	185	49
79	186	46
80	187	43
81	188	41
82	189	38
83	190	36
84	192	33
85	193	31
86	194	29
87	196	26
88	198	24
89	200	22
90	202	20
91	204	17
92	205	15
93	207	13
94	208	10
95	210	8
96	212	6
97	213	4
98	214	2
99	216	0
